experiment_session_id,variant,checkout_started,payment_attempt,payment_failed,order_completed,order_value
EXP00001,Control,1,1,0,1,557.01
EXP00002,Control,1,1,0,1,641.64
EXP00003,Treatment,1,1,0,1,503.17
EXP00004,Treatment,1,1,0,1,514.34
EXP00005,Control,0,0,0,0,0.0
EXP00006,Treatment,0,0,0,0,0.0
EXP00007,Treatment,1,1,0,1,729.88
EXP00008,Treatment,1,1,0,1,2004.31
EXP00009,Control,1,1,0,1,1228.81
EXP00010,Treatment,1,1,1,0,0.0
EXP00011,Control,0,0,0,0,0.0
EXP00012,Treatment,0,0,0,0,0.0
EXP00013,Control,1,1,0,1,869.46
EXP00014,Control,1,1,1,0,0.0
EXP00015,Control,1,1,0,1,870.82
EXP00016,Control,1,0,0,0,0.0
EXP00017,Treatment,1,1,0,1,878.82
EXP00018,Control,1,1,0,1,995.75
EXP00019,Treatment,1,1,0,1,875.15
EXP00020,Control,1,1,1,0,0.0
EXP00021,Control,0,0,0,0,0.0
EXP00022,Control,1,1,0,1,874.15
EXP00023,Control,1,1,0,1,1105.58
EXP00024,Control,1,1,0,1,500.78
EXP00025,Control,1,1,0,1,651.23
EXP00026,Treatment,1,0,0,0,0.0
EXP00027,Treatment,1,1,0,1,724.53
EXP00028,Control,1,1,0,1,671.48
EXP00029,Control,1,0,0,0,0.0
EXP00030,Treatment,1,1,0,1,374.87
EXP00031,Treatment,1,1,1,0,0.0
EXP00032,Control,1,1,0,1,838.54
EXP00033,Control,0,0,0,0,0.0
EXP00034,Control,0,0,0,0,0.0
EXP00035,Treatment,1,1,0,1,412.06
EXP00036,Control,0,0,0,0,0.0
EXP00037,Treatment,1,1,0,1,775.33
EXP00038,Treatment,0,0,0,0,0.0
EXP00039,Control,1,1,0,1,680.71
EXP00040,Control,1,1,0,1,714.73
EXP00041,Control,1,1,0,1,447.06
EXP00042,Control,1,1,1,0,0.0
EXP00043,Control,0,0,0,0,0.0
EXP00044,Control,0,0,0,0,0.0
EXP00045,Control,1,1,0,1,1393.85
EXP00046,Treatment,0,0,0,0,0.0
EXP00047,Treatment,1,1,0,1,919.83
EXP00048,Treatment,1,1,1,0,0.0
EXP00049,Treatment,0,0,0,0,0.0
EXP00050,Treatment,1,1,1,0,0.0
EXP00051,Treatment,1,1,0,1,686.45
EXP00052,Control,0,0,0,0,0.0
EXP00053,Control,1,1,0,1,995.79
EXP00054,Treatment,1,1,0,1,849.76
EXP00055,Control,1,1,1,0,0.0
EXP00056,Control,1,1,0,1,1319.3
EXP00057,Control,1,1,0,1,711.62
EXP00058,Treatment,1,1,0,1,1026.84
EXP00059,Control,1,1,0,1,1093.7
EXP00060,Control,1,1,0,1,864.03
EXP00061,Treatment,1,1,0,1,911.37
EXP00062,Control,1,1,0,1,1023.97
EXP00063,Control,1,1,0,1,367.6
EXP00064,Control,0,0,0,0,0.0
EXP00065,Control,1,1,0,1,626.72
EXP00066,Treatment,0,0,0,0,0.0
EXP00067,Control,1,1,0,1,513.44
EXP00068,Treatment,1,1,0,1,668.23
EXP00069,Treatment,1,1,0,1,748.59
EXP00070,Control,0,0,0,0,0.0
EXP00071,Control,1,1,0,1,865.56
EXP00072,Treatment,0,0,0,0,0.0
EXP00073,Treatment,1,1,0,1,1069.86
EXP00074,Control,1,1,0,1,1151.04
EXP00075,Control,1,1,0,1,851.35
EXP00076,Treatment,1,1,0,1,621.33
EXP00077,Treatment,1,1,0,1,1220.09
EXP00078,Treatment,1,1,0,1,1049.56
EXP00079,Control,1,1,1,0,0.0
EXP00080,Treatment,1,1,0,1,594.69
EXP00081,Control,1,1,1,0,0.0
EXP00082,Control,1,1,0,1,563.11
EXP00083,Control,1,1,1,0,0.0
EXP00084,Treatment,1,1,0,1,758.45
EXP00085,Treatment,0,0,0,0,0.0
EXP00086,Treatment,0,0,0,0,0.0
EXP00087,Control,1,1,0,1,1386.66
EXP00088,Control,1,1,0,1,717.97
EXP00089,Treatment,1,0,0,0,0.0
EXP00090,Treatment,1,1,0,1,1095.19
EXP00091,Control,1,0,0,0,0.0
EXP00092,Control,1,1,0,1,827.32
EXP00093,Treatment,1,1,0,1,542.72
EXP00094,Treatment,1,1,0,1,840.47
EXP00095,Control,0,0,0,0,0.0
EXP00096,Treatment,1,1,0,1,794.3
EXP00097,Treatment,1,1,0,1,706.05
EXP00098,Control,1,1,0,1,938.77
EXP00099,Treatment,1,1,0,1,901.7
EXP00100,Control,1,1,0,1,901.52
EXP00101,Control,0,0,0,0,0.0
EXP00102,Treatment,1,1,0,1,857.92
EXP00103,Control,0,0,0,0,0.0
EXP00104,Control,0,0,0,0,0.0
EXP00105,Control,1,1,0,1,789.22
EXP00106,Control,0,0,0,0,0.0
EXP00107,Treatment,1,1,0,1,819.25
EXP00108,Treatment,1,1,0,1,794.71
EXP00109,Treatment,1,1,0,1,538.55
EXP00110,Control,1,1,0,1,695.23
EXP00111,Treatment,1,0,0,0,0.0
EXP00112,Control,1,1,0,1,584.59
EXP00113,Control,1,1,0,1,687.81
EXP00114,Treatment,1,1,0,1,367.54
EXP00115,Treatment,1,1,1,0,0.0
EXP00116,Control,1,1,1,0,0.0
EXP00117,Control,0,0,0,0,0.0
EXP00118,Treatment,0,0,0,0,0.0
EXP00119,Control,0,0,0,0,0.0
EXP00120,Control,0,0,0,0,0.0
EXP00121,Treatment,1,1,0,1,491.65
EXP00122,Control,1,1,0,1,666.96
EXP00123,Treatment,1,1,1,0,0.0
EXP00124,Control,1,1,0,1,814.7
EXP00125,Treatment,1,0,0,0,0.0
EXP00126,Treatment,1,1,0,1,1097.87
EXP00127,Treatment,1,1,0,1,1111.84
EXP00128,Control,1,1,0,1,892.31
EXP00129,Control,1,1,0,1,1035.22
EXP00130,Treatment,1,1,0,1,921.58
EXP00131,Control,0,0,0,0,0.0
EXP00132,Control,1,1,0,1,1392.49
EXP00133,Treatment,0,0,0,0,0.0
EXP00134,Treatment,1,1,0,1,523.86
EXP00135,Control,1,0,0,0,0.0
EXP00136,Treatment,0,0,0,0,0.0
EXP00137,Treatment,1,1,0,1,1376.87
EXP00138,Control,1,1,0,1,513.17
EXP00139,Treatment,0,0,0,0,0.0
EXP00140,Control,0,0,0,0,0.0
EXP00141,Control,0,0,0,0,0.0
EXP00142,Treatment,1,1,0,1,439.84
EXP00143,Treatment,0,0,0,0,0.0
EXP00144,Control,1,1,1,0,0.0
EXP00145,Control,1,1,0,1,545.47
EXP00146,Control,1,1,0,1,746.72
EXP00147,Treatment,1,1,1,0,0.0
EXP00148,Control,1,1,0,1,1263.58
EXP00149,Treatment,1,1,0,1,878.09
EXP00150,Treatment,1,1,0,1,808.3
EXP00151,Control,1,1,0,1,1379.49
EXP00152,Treatment,1,1,0,1,582.06
EXP00153,Control,1,1,0,1,586.96
EXP00154,Control,1,1,0,1,1545.8
EXP00155,Control,1,1,1,0,0.0
EXP00156,Control,1,1,0,1,888.9
EXP00157,Control,1,0,0,0,0.0
EXP00158,Treatment,1,1,0,1,1439.75
EXP00159,Treatment,0,0,0,0,0.0
EXP00160,Treatment,1,1,0,1,848.74
EXP00161,Treatment,1,1,0,1,1251.2
EXP00162,Control,1,1,0,1,1725.36
EXP00163,Treatment,1,1,0,1,694.37
EXP00164,Control,1,1,0,1,1317.32
EXP00165,Treatment,1,1,0,1,875.09
EXP00166,Treatment,1,1,0,1,857.2
EXP00167,Treatment,1,1,0,1,581.67
EXP00168,Control,1,1,0,1,736.88
EXP00169,Control,1,1,0,1,716.18
EXP00170,Treatment,1,1,0,1,750.11
EXP00171,Control,1,1,0,1,686.39
EXP00172,Treatment,1,1,1,0,0.0
EXP00173,Treatment,1,1,0,1,819.18
EXP00174,Treatment,1,1,0,1,892.88
EXP00175,Control,1,0,0,0,0.0
EXP00176,Control,1,1,0,1,1076.31
EXP00177,Treatment,0,0,0,0,0.0
EXP00178,Treatment,0,0,0,0,0.0
EXP00179,Treatment,0,0,0,0,0.0
EXP00180,Treatment,1,1,1,0,0.0
EXP00181,Treatment,1,0,0,0,0.0
EXP00182,Treatment,0,0,0,0,0.0
EXP00183,Control,1,0,0,0,0.0
EXP00184,Control,1,1,1,0,0.0
EXP00185,Control,1,1,1,0,0.0
EXP00186,Treatment,1,1,0,1,914.22
EXP00187,Treatment,1,1,0,1,925.64
EXP00188,Control,1,1,1,0,0.0
EXP00189,Control,1,1,0,1,1520.62
EXP00190,Control,0,0,0,0,0.0
EXP00191,Treatment,0,0,0,0,0.0
EXP00192,Treatment,1,1,0,1,507.32
EXP00193,Control,1,1,1,0,0.0
EXP00194,Control,0,0,0,0,0.0
EXP00195,Treatment,1,1,0,1,945.12
EXP00196,Control,1,1,0,1,1049.67
EXP00197,Treatment,1,1,0,1,970.51
EXP00198,Control,1,1,0,1,718.75
EXP00199,Treatment,1,1,1,0,0.0
EXP00200,Treatment,0,0,0,0,0.0
EXP00201,Control,1,1,0,1,817.17
EXP00202,Control,1,1,0,1,602.57
EXP00203,Control,1,1,0,1,376.87
EXP00204,Control,1,1,0,1,668.56
EXP00205,Treatment,1,1,0,1,1013.7
EXP00206,Treatment,1,1,0,1,762.87
EXP00207,Control,0,0,0,0,0.0
EXP00208,Treatment,1,1,0,1,625.34
EXP00209,Treatment,1,1,1,0,0.0
EXP00210,Treatment,1,1,1,0,0.0
EXP00211,Treatment,1,1,0,1,362.96
EXP00212,Control,1,1,0,1,657.03
EXP00213,Control,1,1,0,1,467.89
EXP00214,Control,1,1,1,0,0.0
EXP00215,Control,0,0,0,0,0.0
EXP00216,Control,0,0,0,0,0.0
EXP00217,Treatment,1,1,1,0,0.0
EXP00218,Control,1,1,0,1,929.79
EXP00219,Treatment,1,1,0,1,907.8
