event_id,session_id,user_id,event_name,event_timestamp
E0000001,S000001,U00001,App Open,2025-02-25T09:19:37
E0000002,S000001,U00001,Search,2025-02-25T09:19:48
E0000003,S000001,U00001,Product View,2025-02-25T09:20:07
E0000004,S000002,U00002,App Open,2025-05-09T09:12:30
E0000005,S000002,U00002,Search,2025-05-09T09:12:48
E0000006,S000002,U00002,Product View,2025-05-09T09:13:12
E0000007,S000002,U00002,Add to Cart,2025-05-09T09:13:25
E0000008,S000002,U00002,Cart View,2025-05-09T09:13:48
E0000009,S000003,U00003,App Open,2025-06-24T15:23:34
E0000010,S000003,U00003,Search,2025-06-24T15:23:55
E0000011,S000004,U00003,App Open,2025-06-28T10:58:33
E0000012,S000004,U00003,Search,2025-06-28T10:58:55
E0000013,S000004,U00003,Product View,2025-06-28T10:59:06
E0000014,S000005,U00004,App Open,2025-02-10T07:51:32
E0000015,S000005,U00004,Search,2025-02-10T07:51:54
E0000016,S000006,U00004,App Open,2025-01-19T13:44:33
E0000017,S000006,U00004,Search,2025-01-19T13:44:50
E0000018,S000007,U00005,App Open,2025-02-13T20:49:30
E0000019,S000007,U00005,Search,2025-02-13T20:49:55
E0000020,S000007,U00005,Product View,2025-02-13T20:50:08
E0000021,S000008,U00006,App Open,2025-06-16T18:10:35
E0000022,S000008,U00006,Search,2025-06-16T18:10:55
E0000023,S000008,U00006,Product View,2025-06-16T18:11:11
E0000024,S000008,U00006,Add to Cart,2025-06-16T18:11:28
E0000025,S000008,U00006,Cart View,2025-06-16T18:11:44
E0000026,S000008,U00006,Checkout Started,2025-06-16T18:12:03
E0000027,S000008,U00006,Payment Attempt,2025-06-16T18:12:18
E0000028,S000008,U00006,Order Completed,2025-06-16T18:12:41
E0000029,S000009,U00006,App Open,2025-04-20T18:09:36
E0000030,S000009,U00006,Search,2025-04-20T18:09:52
E0000031,S000009,U00006,Product View,2025-04-20T18:10:11
E0000032,S000009,U00006,Add to Cart,2025-04-20T18:10:30
E0000033,S000009,U00006,Cart View,2025-04-20T18:10:43
E0000034,S000009,U00006,Checkout Started,2025-04-20T18:11:05
E0000035,S000009,U00006,Payment Attempt,2025-04-20T18:11:23
E0000036,S000009,U00006,Order Completed,2025-04-20T18:11:42
E0000037,S000010,U00007,App Open,2025-01-10T16:50:32
E0000038,S000010,U00007,Search,2025-01-10T16:50:55
E0000039,S000010,U00007,Product View,2025-01-10T16:51:07
E0000040,S000010,U00007,Add to Cart,2025-01-10T16:51:25
E0000041,S000010,U00007,Cart View,2025-01-10T16:51:45
E0000042,S000010,U00007,Checkout Started,2025-01-10T16:52:02
E0000043,S000010,U00007,Payment Attempt,2025-01-10T16:52:19
E0000044,S000010,U00007,Order Completed,2025-01-10T16:52:41
E0000045,S000011,U00008,App Open,2025-02-21T16:12:31
E0000046,S000011,U00008,Search,2025-02-21T16:12:48
E0000047,S000011,U00008,Product View,2025-02-21T16:13:08
E0000048,S000012,U00008,App Open,2025-01-14T21:20:36
E0000049,S000012,U00008,Search,2025-01-14T21:20:50
E0000050,S000012,U00008,Product View,2025-01-14T21:21:12
E0000051,S000012,U00008,Add to Cart,2025-01-14T21:21:26
E0000052,S000012,U00008,Cart View,2025-01-14T21:21:44
E0000053,S000012,U00008,Checkout Started,2025-01-14T21:22:07
E0000054,S000012,U00008,Payment Attempt,2025-01-14T21:22:24
E0000055,S000012,U00008,Order Completed,2025-01-14T21:22:41
E0000056,S000013,U00008,App Open,2025-02-04T11:33:34
E0000057,S000013,U00008,Search,2025-02-04T11:33:52
E0000058,S000013,U00008,Product View,2025-02-04T11:34:11
E0000059,S000014,U00009,App Open,2025-02-12T16:16:34
