session_id,user_id,session_start,device,city,cart_value,delivery_fee
S000001,U00001,2025-02-25T09:19:00,Android,Hyderabad,544.74,49.0
S000002,U00002,2025-05-09T09:12:00,Android,Kolkata,598.31,19.0
S000003,U00003,2025-06-24T15:23:00,Android,Mumbai,1728.39,0.0
S000004,U00003,2025-06-28T10:58:00,Android,Mumbai,1726.86,0.0
S000005,U00004,2025-02-10T07:51:00,Android,Mumbai,734.88,39.0
S000006,U00004,2025-01-19T13:44:00,Android,Mumbai,1230.21,0.0
S000007,U00005,2025-02-13T20:49:00,Android,Kolkata,536.17,29.0
S000008,U00006,2025-06-16T18:10:00,iOS,Delhi,1033.65,0.0
S000009,U00006,2025-04-20T18:09:00,iOS,Delhi,1557.91,0.0
S000010,U00007,2025-01-10T16:50:00,iOS,Hyderabad,1027.25,39.0
S000011,U00008,2025-02-21T16:12:00,iOS,Bengaluru,988.61,0.0
S000012,U00008,2025-01-14T21:20:00,iOS,Bengaluru,1636.31,0.0
S000013,U00008,2025-02-04T11:33:00,iOS,Bengaluru,745.52,29.0
S000014,U00009,2025-02-12T16:16:00,iOS,Bengaluru,749.65,39.0
S000015,U00010,2025-05-08T15:35:00,Android,Mumbai,582.91,69.0
S000016,U00011,2025-04-01T07:02:00,iOS,Bengaluru,657.06,29.0
S000017,U00012,2025-05-25T18:55:00,Android,Kolkata,451.39,0.0
S000018,U00012,2025-01-23T10:41:00,Android,Kolkata,603.66,49.0
S000019,U00012,2025-02-27T22:55:00,Android,Kolkata,1356.87,59.0
S000020,U00013,2025-05-15T21:33:00,iOS,Bengaluru,1225.51,0.0
S000021,U00014,2025-03-16T12:17:00,iOS,Hyderabad,725.73,39.0
S000022,U00014,2025-01-04T07:20:00,iOS,Hyderabad,444.45,0.0
S000023,U00015,2025-06-17T12:11:00,iOS,Bengaluru,765.35,39.0
S000024,U00016,2025-06-11T15:26:00,Android,Kolkata,788.62,29.0
S000025,U00016,2025-01-26T08:17:00,Android,Kolkata,988.77,0.0
S000026,U00017,2025-01-12T15:27:00,Android,Delhi,475.18,29.0
S000027,U00018,2025-06-09T18:00:00,Android,Bengaluru,522.42,59.0
S000028,U00019,2025-01-26T21:59:00,Android,Bengaluru,1299.99,39.0
S000029,U00019,2025-03-06T15:11:00,Android,Bengaluru,1242.88,39.0
S000030,U00020,2025-02-14T10:50:00,iOS,Mumbai,1166.43,0.0
S000031,U00020,2025-01-28T19:43:00,iOS,Mumbai,343.48,49.0
S000032,U00020,2025-03-24T17:34:00,iOS,Mumbai,889.84,49.0
S000033,U00021,2025-04-12T10:05:00,Android,Kolkata,585.87,39.0
S000034,U00021,2025-05-30T07:37:00,Android,Kolkata,714.64,69.0
S000035,U00022,2025-06-20T09:58:00,Android,Kolkata,609.86,59.0
S000036,U00023,2025-04-17T08:09:00,Android,Delhi,587.94,39.0
S000037,U00023,2025-03-27T17:30:00,Android,Delhi,760.09,39.0
S000038,U00024,2025-05-04T11:18:00,Android,Mumbai,1131.05,39.0
S000039,U00024,2025-06-11T13:07:00,Android,Mumbai,968.24,0.0
S000040,U00025,2025-01-29T09:23:00,Android,Bengaluru,775.2,59.0
S000041,U00025,2025-05-25T13:59:00,Android,Bengaluru,729.85,19.0
S000042,U00025,2025-03-07T18:55:00,Android,Bengaluru,848.96,29.0
S000043,U00026,2025-01-11T17:53:00,Android,Mumbai,632.89,19.0
S000044,U00027,2025-03-14T16:35:00,Android,Mumbai,454.0,39.0
S000045,U00028,2025-05-24T16:08:00,iOS,Bengaluru,1034.84,0.0
S000046,U00028,2025-05-08T16:49:00,iOS,Bengaluru,759.85,0.0
S000047,U00029,2025-02-13T19:22:00,iOS,Mumbai,353.52,49.0
S000048,U00029,2025-04-01T10:38:00,iOS,Mumbai,876.59,39.0
S000049,U00030,2025-05-21T17:25:00,iOS,Kolkata,1429.6,29.0
S000050,U00030,2025-03-05T15:04:00,iOS,Kolkata,1086.41,0.0
S000051,U00030,2025-01-17T11:24:00,iOS,Kolkata,421.15,0.0
S000052,U00031,2025-02-06T12:08:00,Android,Bengaluru,613.96,0.0
S000053,U00031,2025-05-21T20:14:00,Android,Bengaluru,570.45,39.0
S000054,U00032,2025-04-03T07:58:00,Android,Bengaluru,1048.06,0.0
S000055,U00033,2025-05-24T13:00:00,Android,Bengaluru,1131.95,0.0
S000056,U00034,2025-06-14T18:25:00,Android,Bengaluru,1273.6,0.0
S000057,U00034,2025-01-20T10:20:00,Android,Bengaluru,373.93,49.0
S000058,U00034,2025-03-15T11:03:00,Android,Bengaluru,535.58,39.0
S000059,U00035,2025-03-05T13:35:00,Android,Bengaluru,983.98,0.0
S000060,U00035,2025-04-05T16:46:00,Android,Bengaluru,779.88,0.0
S000061,U00036,2025-05-01T14:02:00,Android,Mumbai,921.58,0.0
S000062,U00036,2025-03-19T18:36:00,Android,Mumbai,387.54,39.0
S000063,U00037,2025-05-28T20:49:00,iOS,Bengaluru,821.11,29.0
S000064,U00038,2025-02-09T11:57:00,Android,Hyderabad,283.16,49.0
S000065,U00039,2025-02-09T18:10:00,iOS,Kolkata,414.51,0.0
S000066,U00040,2025-05-15T17:48:00,Android,Kolkata,1173.13,59.0
S000067,U00040,2025-01-22T13:01:00,Android,Kolkata,570.81,39.0
S000068,U00040,2025-02-08T17:34:00,Android,Kolkata,791.75,59.0
S000069,U00041,2025-05-24T12:40:00,Android,Mumbai,742.93,49.0
S000070,U00042,2025-01-21T19:03:00,iOS,Bengaluru,865.79,19.0
S000071,U00042,2025-05-05T20:15:00,iOS,Bengaluru,743.83,29.0
S000072,U00043,2025-03-04T12:25:00,iOS,Bengaluru,979.93,0.0
S000073,U00043,2025-04-29T11:56:00,iOS,Bengaluru,476.99,59.0
S000074,U00043,2025-01-26T12:58:00,iOS,Bengaluru,717.83,29.0
S000075,U00044,2025-06-03T22:53:00,iOS,Bengaluru,332.12,59.0
S000076,U00045,2025-04-08T17:45:00,iOS,Kolkata,661.07,0.0
S000077,U00045,2025-04-01T07:57:00,iOS,Kolkata,1207.48,0.0
S000078,U00046,2025-02-05T22:43:00,Android,Kolkata,720.96,29.0
S000079,U00047,2025-04-04T20:44:00,iOS,Delhi,550.83,0.0
