user_id,signup_date,city,device,acquisition_channel,user_type
U00001,2024-08-24,Hyderabad,Android,Organic,Returning
U00002,2024-10-31,Kolkata,Android,Paid Social,New
U00003,2023-08-22,Mumbai,Android,Paid Social,Returning
U00004,2023-03-23,Mumbai,Android,Paid Social,Returning
U00005,2024-10-18,Kolkata,Android,Paid Social,New
U00006,2023-07-25,Delhi,iOS,Organic,Returning
U00007,2024-02-17,Hyderabad,iOS,Organic,Returning
U00008,2024-01-29,Bengaluru,iOS,Referral,Returning
U00009,2024-11-10,Bengaluru,iOS,Paid Search,New
U00010,2024-12-11,Mumbai,Android,Paid Social,New
U00011,2024-11-05,Bengaluru,iOS,Paid Search,New
U00012,2023-03-31,Kolkata,Android,Referral,Returning
U00013,2024-03-12,Bengaluru,iOS,Referral,Returning
U00014,2023-07-23,Hyderabad,iOS,Organic,Returning
U00015,2024-09-25,Bengaluru,iOS,Referral,New
U00016,2024-10-24,Kolkata,Android,Organic,New
U00017,2024-12-30,Delhi,Android,Paid Search,New
U00018,2024-09-22,Bengaluru,Android,Referral,New
U00019,2023-11-27,Bengaluru,Android,Organic,Returning
U00020,2024-01-16,Mumbai,iOS,Organic,Returning
U00021,2023-05-11,Kolkata,Android,Paid Social,Returning
U00022,2024-11-30,Kolkata,Android,Referral,New
U00023,2023-04-09,Delhi,Android,Organic,Returning
U00024,2023-09-03,Mumbai,Android,Paid Social,Returning
U00025,2024-03-07,Bengaluru,Android,Paid Search,Returning
U00026,2024-10-26,Mumbai,Android,Organic,New
U00027,2024-11-19,Mumbai,Android,Paid Social,New
U00028,2024-11-28,Bengaluru,iOS,Paid Search,New
U00029,2024-11-03,Mumbai,iOS,Paid Social,New
U00030,2023-02-17,Kolkata,iOS,Paid Social,Returning
U00031,2024-02-26,Bengaluru,Android,Referral,Returning
U00032,2023-04-06,Bengaluru,Android,Paid Social,Returning
U00033,2024-10-11,Bengaluru,Android,Organic,New
U00034,2024-11-09,Bengaluru,Android,Paid Social,New
U00035,2024-12-01,Bengaluru,Android,Paid Search,New
U00036,2024-11-07,Mumbai,Android,Organic,New
U00037,2024-12-18,Bengaluru,iOS,Paid Search,New
U00038,2024-10-30,Hyderabad,Android,Paid Social,New
U00039,2024-10-07,Kolkata,iOS,Organic,New
U00040,2023-08-21,Kolkata,Android,Paid Search,Returning
U00041,2024-12-31,Mumbai,Android,Paid Search,New
U00042,2023-05-02,Bengaluru,iOS,Organic,Returning
U00043,2024-07-10,Bengaluru,iOS,Referral,Returning
U00044,2024-11-18,Bengaluru,iOS,Organic,New
U00045,2024-03-01,Kolkata,iOS,Paid Social,Returning
U00046,2024-09-18,Kolkata,Android,Paid Social,Returning
U00047,2024-09-06,Delhi,iOS,Paid Search,New
U00048,2024-11-01,Delhi,iOS,Paid Search,New
U00049,2024-09-04,Mumbai,Android,Organic,Returning
U00050,2024-09-24,Delhi,Android,Organic,New
U00051,2024-11-20,Kolkata,Android,Paid Search,New
U00052,2024-10-27,Bengaluru,iOS,Organic,New
U00053,2023-05-15,Delhi,iOS,Paid Social,Returning
U00054,2023-11-27,Delhi,iOS,Paid Search,Returning
U00055,2023-08-20,Bengaluru,Android,Organic,Returning
U00056,2024-07-30,Delhi,Android,Organic,Returning
U00057,2024-09-16,Hyderabad,Android,Referral,New
U00058,2023-11-17,Bengaluru,Android,Organic,Returning
U00059,2024-10-26,Mumbai,Android,Paid Social,New
U00060,2024-09-07,Delhi,Android,Organic,New
U00061,2024-03-17,Bengaluru,Android,Referral,Returning
U00062,2024-10-25,Bengaluru,Android,Paid Search,New
U00063,2023-02-19,Delhi,iOS,Paid Search,Returning
U00064,2024-06-30,Bengaluru,Android,Paid Search,Returning
U00065,2023-11-04,Delhi,Android,Organic,Returning
U00066,2024-11-12,Hyderabad,Android,Paid Social,New
U00067,2024-10-21,Hyderabad,iOS,Organic,New
U00068,2024-10-08,Kolkata,iOS,Organic,New
U00069,2024-12-15,Delhi,Android,Organic,New
U00070,2024-12-24,Hyderabad,iOS,Paid Search,New
U00071,2024-11-25,Mumbai,Android,Referral,New
U00072,2024-12-01,Bengaluru,Android,Organic,New
U00073,2023-06-26,Delhi,Android,Referral,Returning
U00074,2024-09-13,Mumbai,Android,Paid Social,New
U00075,2024-10-11,Hyderabad,Android,Organic,New
U00076,2024-11-20,Delhi,Android,Organic,New
