order_id,session_id,user_id,order_date,order_value,payment_method,payment_status,delivery_fee
O000001,S000008,U00006,2025-06-16T18:12:36,1033.65,UPI,Success,0.0
O000002,S000009,U00006,2025-04-20T18:11:36,1557.91,UPI,Success,0.0
O000003,S000010,U00007,2025-01-10T16:52:36,1027.25,UPI,Success,39.0
O000004,S000012,U00008,2025-01-14T21:22:36,1636.31,UPI,Success,0.0
O000006,S000019,U00012,2025-02-27T22:57:36,1356.87,UPI,Success,59.0
O000007,S000024,U00016,2025-06-11T15:28:36,788.62,UPI,Success,29.0
O000009,S000028,U00019,2025-01-26T22:01:36,1299.99,UPI,Success,39.0
O000010,S000030,U00020,2025-02-14T10:52:36,1166.43,UPI,Success,0.0
O000011,S000033,U00021,2025-04-12T10:07:36,585.87,UPI,Success,39.0
O000012,S000034,U00021,2025-05-30T07:39:36,714.64,Cash on Delivery,Success,69.0
O000013,S000036,U00023,2025-04-17T08:11:36,587.94,Cash on Delivery,Success,39.0
O000014,S000040,U00025,2025-01-29T09:25:36,775.2,UPI,Success,59.0
O000015,S000041,U00025,2025-05-25T14:01:36,729.85,UPI,Success,19.0
O000016,S000048,U00029,2025-04-01T10:40:36,876.59,Card,Success,39.0
O000017,S000050,U00030,2025-03-05T15:06:36,1086.41,Card,Success,0.0
O000018,S000054,U00032,2025-04-03T08:00:36,1048.06,Card,Success,0.0
O000019,S000059,U00035,2025-03-05T13:37:36,983.98,Wallet,Success,0.0
O000020,S000061,U00036,2025-05-01T14:04:36,921.58,Cash on Delivery,Success,0.0
O000024,S000066,U00040,2025-05-15T17:50:36,1173.13,UPI,Success,59.0
O000025,S000070,U00042,2025-01-21T19:05:36,865.79,Cash on Delivery,Success,19.0
O000026,S000077,U00045,2025-04-01T07:59:36,1207.48,UPI,Success,0.0
O000027,S000079,U00047,2025-04-04T20:46:36,550.83,Card,Success,0.0
O000028,S000080,U00048,2025-02-03T22:57:36,588.16,Wallet,Success,19.0
O000029,S000083,U00049,2025-04-26T19:22:36,765.03,UPI,Success,39.0
O000030,S000084,U00049,2025-01-22T19:22:36,586.4,UPI,Success,19.0
O000031,S000085,U00050,2025-06-21T11:28:36,936.67,Wallet,Success,0.0
O000032,S000086,U00050,2025-02-07T12:54:36,543.39,UPI,Success,0.0
O000033,S000088,U00052,2025-03-27T09:24:36,748.46,UPI,Success,39.0
O000034,S000090,U00053,2025-01-02T15:55:36,817.16,UPI,Success,19.0
O000035,S000091,U00054,2025-03-01T12:51:36,1162.21,UPI,Success,0.0
O000036,S000093,U00055,2025-06-08T16:32:36,935.48,UPI,Success,0.0
O000037,S000095,U00056,2025-04-22T15:47:36,787.32,Card,Success,39.0
O000038,S000096,U00056,2025-05-10T13:16:36,902.45,Card,Success,0.0
O000039,S000098,U00058,2025-02-13T21:09:36,715.94,UPI,Success,29.0
O000040,S000099,U00058,2025-06-30T11:52:36,436.48,Wallet,Success,69.0
O000041,S000103,U00060,2025-06-06T10:30:36,657.71,UPI,Success,49.0
O000042,S000104,U00061,2025-02-20T21:19:36,952.99,Card,Success,39.0
O000043,S000107,U00062,2025-04-17T19:05:36,736.51,Cash on Delivery,Success,39.0
O000044,S000108,U00063,2025-01-05T20:01:36,849.66,Card,Success,19.0
O000045,S000109,U00063,2025-02-09T13:52:36,539.76,Card,Success,69.0
O000046,S000111,U00064,2025-03-31T22:30:36,1160.28,UPI,Success,0.0
O000048,S000113,U00066,2025-03-03T16:22:36,510.68,Cash on Delivery,Success,0.0
O000049,S000115,U00067,2025-04-18T07:42:36,1058.78,Card,Success,0.0
O000051,S000117,U00069,2025-01-11T21:56:36,567.71,Card,Success,29.0
O000052,S000119,U00070,2025-03-21T18:56:36,325.31,Card,Success,0.0
O000054,S000121,U00071,2025-01-12T16:10:36,901.22,UPI,Success,0.0
O000055,S000125,U00073,2025-03-31T15:19:36,610.65,UPI,Success,29.0
O000056,S000126,U00073,2025-04-10T12:36:36,1021.69,Card,Success,19.0
O000057,S000128,U00075,2025-05-08T18:03:36,500.13,Card,Success,19.0
O000058,S000129,U00075,2025-05-25T14:21:36,585.87,UPI,Success,59.0
O000059,S000130,U00076,2025-04-18T16:56:36,662.36,UPI,Success,0.0
O000060,S000136,U00080,2025-03-15T13:23:36,1315.03,UPI,Success,0.0
O000061,S000139,U00081,2025-04-04T19:44:36,1370.77,Card,Success,0.0
O000062,S000144,U00083,2025-03-28T07:11:36,921.81,Card,Success,0.0
O000063,S000145,U00084,2025-01-14T13:35:36,803.6,UPI,Success,19.0
O000064,S000150,U00088,2025-02-27T11:38:36,522.66,UPI,Success,69.0
O000066,S000155,U00091,2025-04-26T12:04:36,645.79,UPI,Success,59.0
O000067,S000161,U00096,2025-06-14T10:25:36,1208.03,UPI,Success,0.0
O000068,S000162,U00096,2025-03-26T21:18:36,1020.12,UPI,Success,0.0
O000070,S000167,U00098,2025-05-28T16:34:36,1185.02,UPI,Success,0.0
O000071,S000169,U00099,2025-02-17T15:20:36,481.21,UPI,Success,29.0
O000073,S000173,U00100,2025-06-14T09:35:36,922.28,Card,Success,0.0
O000075,S000180,U00102,2025-01-30T16:27:36,861.05,UPI,Success,29.0
O000078,S000186,U00105,2025-01-21T21:38:36,542.89,UPI,Success,49.0
O000079,S000190,U00109,2025-04-29T17:24:36,1031.87,UPI,Success,39.0
O000080,S000198,U00115,2025-03-05T17:17:36,616.81,Card,Success,49.0
O000081,S000201,U00116,2025-05-06T10:14:36,642.01,UPI,Success,49.0
O000082,S000203,U00116,2025-06-03T07:33:36,704.02,UPI,Success,49.0
O000083,S000205,U00117,2025-06-14T18:39:36,510.78,Wallet,Success,0.0
O000084,S000206,U00118,2025-01-25T21:20:36,895.8,Card,Success,19.0
O000085,S000207,U00119,2025-01-21T22:24:36,604.67,Wallet,Success,49.0
O000086,S000208,U00119,2025-05-07T08:17:36,482.9,UPI,Success,29.0
O000087,S000211,U00120,2025-01-04T22:04:36,1114.75,Card,Success,59.0
O000090,S000214,U00122,2025-01-03T07:32:36,588.35,UPI,Success,29.0
O000094,S000223,U00130,2025-03-30T18:37:36,1085.29,UPI,Success,0.0
O000095,S000226,U00132,2025-05-23T21:50:36,1120.8,UPI,Success,59.0
O000097,S000229,U00133,2025-04-28T12:35:36,1068.41,Card,Success,0.0
O000098,S000235,U00137,2025-06-23T13:19:36,1464.37,UPI,Success,0.0
O000100,S000239,U00139,2025-01-28T11:47:36,753.49,Cash on Delivery,Success,49.0
O000101,S000242,U00142,2025-03-09T19:26:36,763.3,UPI,Success,39.0
O000102,S000244,U00143,2025-04-10T11:53:36,720.11,Wallet,Success,39.0
O000103,S000250,U00146,2025-02-19T07:17:36,293.64,Card,Success,69.0
O000104,S000251,U00146,2025-04-02T14:44:36,568.14,Wallet,Success,49.0
O000105,S000254,U00148,2025-05-12T13:21:36,1068.37,UPI,Success,19.0
O000106,S000257,U00150,2025-03-30T19:18:36,540.47,Cash on Delivery,Success,39.0
O000107,S000258,U00151,2025-02-24T07:09:36,399.45,Wallet,Success,49.0
O000108,S000259,U00151,2025-03-08T19:58:36,531.18,UPI,Success,29.0
O000109,S000263,U00155,2025-04-29T20:32:36,630.66,UPI,Success,39.0
O000110,S000264,U00156,2025-06-20T13:05:36,736.93,UPI,Success,69.0
O000112,S000267,U00158,2025-06-24T21:33:36,750.54,UPI,Success,0.0
O000114,S000272,U00161,2025-04-05T09:01:36,409.54,UPI,Success,29.0
O000115,S000273,U00162,2025-06-23T13:26:36,878.64,Card,Success,39.0
O000116,S000276,U00165,2025-06-07T15:04:36,514.49,Card,Success,0.0
O000117,S000277,U00166,2025-01-22T11:52:36,930.7,UPI,Success,49.0
O000118,S000278,U00166,2025-04-08T22:47:36,598.51,Wallet,Success,29.0
O000119,S000279,U00167,2025-03-09T10:34:36,852.32,UPI,Success,49.0
O000120,S000285,U00170,2025-06-29T08:05:36,1533.35,UPI,Success,49.0
O000122,S000293,U00174,2025-06-25T19:16:36,583.43,UPI,Success,29.0
O000123,S000296,U00176,2025-06-19T11:32:36,665.07,Wallet,Success,39.0
O000125,S000301,U00180,2025-05-23T11:59:36,1043.1,Wallet,Success,49.0
O000126,S000302,U00181,2025-06-30T15:40:36,813.25,UPI,Success,0.0
O000127,S000303,U00181,2025-02-17T09:23:36,1053.88,UPI,Success,0.0
O000128,S000306,U00182,2025-05-31T10:54:36,703.32,UPI,Success,0.0
O000129,S000315,U00185,2025-05-24T22:46:36,302.55,UPI,Success,49.0
O000130,S000316,U00185,2025-03-15T14:15:36,664.47,UPI,Success,29.0
O000131,S000317,U00186,2025-01-25T07:40:36,645.47,Wallet,Success,19.0
O000132,S000318,U00186,2025-03-19T14:58:36,1587.86,UPI,Success,0.0
O000133,S000319,U00186,2025-01-11T22:05:36,1076.53,UPI,Success,0.0
O000134,S000320,U00187,2025-06-04T22:08:36,399.99,UPI,Success,39.0
O000135,S000322,U00188,2025-01-18T20:09:36,381.63,Cash on Delivery,Success,19.0
O000136,S000323,U00189,2025-01-04T13:59:36,829.86,UPI,Success,19.0
O000137,S000324,U00190,2025-01-20T07:31:36,476.25,UPI,Success,39.0
O000139,S000326,U00191,2025-03-03T19:50:36,931.9,UPI,Success,0.0
O000140,S000328,U00193,2025-04-14T08:16:36,1075.27,Cash on Delivery,Success,0.0
O000142,S000332,U00196,2025-05-29T13:22:36,516.82,Wallet,Success,39.0
O000143,S000333,U00197,2025-02-28T13:28:36,564.59,UPI,Success,49.0
O000144,S000335,U00198,2025-05-24T12:59:36,590.01,UPI,Success,59.0
O000145,S000341,U00199,2025-01-04T20:47:36,241.21,Wallet,Success,49.0
O000146,S000344,U00200,2025-04-05T08:43:36,336.98,Wallet,Success,29.0
O000147,S000345,U00201,2025-04-19T08:50:36,1272.96,UPI,Success,59.0
O000148,S000347,U00201,2025-02-03T15:20:36,1295.8,Wallet,Success,0.0
O000149,S000348,U00202,2025-05-25T20:23:36,602.84,UPI,Success,39.0
O000150,S000349,U00202,2025-04-01T16:23:36,623.91,UPI,Success,49.0
O000151,S000351,U00202,2025-06-09T22:21:36,1197.8,UPI,Success,59.0
O000152,S000352,U00202,2025-02-13T13:22:36,762.81,Cash on Delivery,Success,39.0
O000153,S000356,U00205,2025-04-05T09:43:36,1028.67,UPI,Success,0.0
O000154,S000357,U00205,2025-05-21T07:33:36,1143.38,Wallet,Success,0.0
O000155,S000359,U00207,2025-01-04T20:07:36,338.86,UPI,Success,0.0
O000156,S000361,U00207,2025-03-16T16:19:36,1082.24,UPI,Success,0.0
O000157,S000363,U00208,2025-04-30T15:17:36,780.14,Cash on Delivery,Success,39.0
O000158,S000366,U00209,2025-02-17T19:26:36,748.46,UPI,Success,29.0
O000159,S000367,U00209,2025-05-02T15:19:36,486.86,UPI,Success,39.0
O000160,S000371,U00213,2025-01-31T12:53:36,583.19,Wallet,Success,39.0
